id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,233,0.8,met,,red,green,,862.5331050045104,,,,,0,4,4,50,trial,,,,,,red,0.8625331050045104,0.8583333333333333,2.3000802000169642,0.9971807000110857,2e-05,2e-05,0.8584646999952383,0.8921960000297986,2.000261200009845,2.3000802000169642,2.6085827000206336,0.3085025000036694,2.3000802000169642,2.5006327999872155,3.900237800029572,1.6001576000126079,1.2916551000089385,1.08359,-0.038375139883734685,-0.14275552036749303,,,,None,,,,0.233,0.23333333333333334,1.1288631050045104,1.125,trial_list_0.8_red.csv,1.1252123999875039,1.1587423000019044,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,100,0.8,met,,red,green,,1656.708487624597,,,,,0,5,5,230,trial,,,,,,red,1.656708487624597,1.65,2.300312999985181,0.9974504999700002,2e-05,2e-05,1.6503290999680758,1.683720299974084,2.0004171999753453,2.300312999985181,2.300312999985181,0.0,2.300312999985181,2.500505300005898,3.367108599981293,1.0667955999961123,1.0667955999961123,1.63868,-0.1340141419050534,0.062385893645455895,,,,None,,,,0.1,0.1,1.790038487624597,1.7833333333333332,trial_list_0.8_red.csv,1.7840954999555834,1.8173034999636002,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,167,0.8,met,,red,green,,373.4357339987914,,,,,0,6,6,105,trial,,,,,,red,0.37343573399879143,0.375,2.299733299994841,0.9974221999873407,1e-05,1e-05,0.374924200004898,0.4082407000241801,1.9998905999818817,2.299733299994841,2.299733299994841,0.0,2.299733299994841,2.499828400032129,3.4748278000042774,1.1750945000094362,1.1750945000094362,0.46562,0.14696205358921438,0.015935644365095536,,,,None,,0.0335,2.03306899999734,0.167,0.16666666666666666,0.5737657339987915,0.575,trial_list_0.8_red.csv,0.5745026000076905,0.6080529000028037,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,33,0.1999999999999999,unmet,,green,red,,1484.7430136026403,,,,,0,7,7,347,trial,,,,,,green,1.4847430136026403,1.4833333333333334,2.2997814000118524,0.9975006000022404,1e-05,1e-05,1.483373399998527,1.5166942000505514,1.9996225000359118,2.2997814000118524,2.46623710001586,0.16645570000400767,2.2997814000118524,2.499815400049556,3.9250931999995373,1.625311799987685,1.4588560999836773,1.43213,-0.1444764719048484,-0.0312784114433177,,,,None,,0.03334,2.033160399994813,0.033,0.03333333333333333,1.5510730136026403,1.55,trial_list_0.8_red.csv,1.550215199997183,1.5834419000311755,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,-300,0.8,met,,red,green,,887.8543938680793,,,,,0,8,8,9,trial,,,,,,red,0.8878543938680793,0.8833333333333333,2.299742100003641,0.9970683999708854,1e-05,1e-05,0.8834741999744438,0.9169175999704748,1.9996108999475837,2.299742100003641,2.783117199956905,0.483375099953264,2.299742100003641,2.500027999980375,4.283209299959708,1.983467199956067,1.500092100002803,0.87888,0.05490027316870664,-0.1372506829217666,,,,None,,0.03344,2.0329365999787115,-0.3,-0.3,0.5545243938680793,0.55,trial_list_0.8_red.csv,0.5499244999955408,0.5836022999719717,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,100,0.8,met,,red,green,,1262.566615076557,,,,,0,9,9,77,trial,,,,,,red,1.2625666150765569,1.2583333333333333,2.299649699998554,0.9973174000042491,1e-05,1e-05,1.2582078999839723,1.2919077999540605,2.000047099951189,2.299649699998554,3.333449199970346,1.033799499971792,2.299649699998554,2.4999722999637015,5.116642699984368,2.816992999985814,1.783193500014022,0.89331,0.04862390319319672,-0.13959765755466155,,,,None,,,,0.1,0.1,1.3958966150765568,1.3916666666666666,trial_list_0.8_red.csv,1.3917108999448828,1.4249019999988377,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,-300,0.8,met,,red,green,,1837.3921352617367,,,,,0,10,10,266,trial,,,,,,red,1.8373921352617366,1.8333333333333333,2.300634999992326,0.9971926999860443,1e-05,1e-05,1.8336383000132628,1.8671104999957606,2.000337800011039,2.300634999992326,2.4340160000137985,0.13338100002147257,2.300634999992326,2.5005077999667265,3.391890599974431,1.0912555999821052,0.9578745999606326,1.39245,-0.13946558890252797,-0.049001423127915236,,,,None,,0.0334,2.0336854999768548,-0.3,-0.3,1.5040621352617367,1.5,trial_list_0.8_red.csv,1.5002573999809101,1.5336483999853954,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,167,0.8,met,,red,green,,1348.401644540604,,,,,0,11,11,395,trial,,,,,,red,1.348401644540604,1.35,2.2997987999697216,0.9976689000031911,1e-05,1e-05,1.349886299984064,1.3832793000037782,1.9996557999984361,2.2997987999697216,2.7666854999843054,0.46688670001458377,2.2997987999697216,2.5000513999839313,3.8081655999994837,1.508366800029762,1.0414801000151783,1.39549,-0.13992712753540218,-0.04766748300656558,,,,None,,,,0.167,0.16666666666666666,1.5487316445406039,1.55,trial_list_0.8_red.csv,1.54981629998656,1.5830118999583647,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,233,0.8,met,,red,green,,524.3777108851989,,,,,0,12,12,279,trial,,,,,,red,0.5243777108851989,0.525,2.300385699956678,0.996808499970939,1e-05,1e-05,0.5247398999636061,0.558249199995771,1.9999871999607421,2.300385699956678,2.300385699956678,0.0,2.300385699956678,2.5004628999740817,3.3501272999565117,1.0497415999998339,1.0497415999998339,0.75922,0.10145462759328765,-0.10751162028542423,,,,None,,0.03334,2.033397799998056,0.233,0.23333333333333334,0.790707710885199,0.7916666666666666,trial_list_0.8_red.csv,0.7913446999737062,0.8247599999886006,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,-100,0.8,met,,red,green,,679.3578565733416,,,,,0,13,13,114,trial,,,,,,red,0.6793578565733416,0.675,2.300202399957925,0.9982673999620602,1e-05,1e-05,0.6751461999956518,0.7087102999794297,1.9998558000079356,2.300202399957925,2.733674799965229,0.4334724000073038,2.300202399957925,2.5002061999985017,4.08353999996325,1.783337600005325,1.3498651999980211,0.84749,0.06814513424553506,-0.13117938342265498,,,,None,,0.03345,2.033227599982638,-0.1,-0.1,0.5460278565733415,0.5416666666666666,trial_list_0.8_red.csv,0.5419517999980599,0.5750772999599576,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
