id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,233,0.8,met,,green,red,,376.2938874994856,,,,,0,4,4,475,trial,,,,,,green,0.3762938874994856,0.375,2.30012379999971,0.998343199986266,2e-05,2e-05,,0.3751785999920685,0.40834799999720417,2.000277699989965,,2.30012379999971,2.30012379999971,2.30012379999971,0.0,2.5003941000031773,3.183616099995561,0.8834922999958508,0.8834922999958508,0.34033,0.12961348740987358,0.07107836406347905,,,,None,,0.233,0.23333333333333334,0.6426238874994857,0.6416666666666666,trial_list_0.8_green.csv,0.641889499995159,0.6751203000021633,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,167,0.8,met,,green,red,,1063.5056971268068,,,,,0,5,5,340,trial,,,,,,green,1.0635056971268069,1.0666666666666667,2.299786099989433,0.9979295999801252,1e-05,1e-05,0.0335,1.0667315000027884,1.1001133999961894,1.9998046999971848,2.0334192999871448,2.299786099989433,2.299786099989433,2.299786099989433,0.0,2.4999264999933075,3.2999574999848846,1.0001713999954518,1.0001713999954518,0.73326,0.10987634927798347,-0.09888871435018512,,,,None,,0.167,0.16666666666666666,1.2638356971268068,1.2666666666666666,trial_list_0.8_green.csv,1.266606099990895,1.2998478999943472,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-300,0.1999999999999999,unmet,,red,green,,1333.268058066441,,,,,0,6,6,484,trial,,,,,,red,1.3332680580664409,1.3333333333333333,2.299886399996467,0.9979421999887563,1e-05,1e-05,0.03321,1.3333806000009645,1.36668550001923,1.9999822000099812,2.0333104000019375,2.299886399996467,2.299886399996467,2.5666087999998126,0.2667224000033457,2.499742000014521,3.483609899994917,1.1837234999984503,0.9170010999951046,0.54725,0.14619804910131237,-0.021861390519822412,,,,None,,-0.3,-0.3,0.999938058066441,1.0,trial_list_0.8_green.csv,0.9998344000196084,1.0332214999943972,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,300,0.8,met,,green,red,,189.7945345002853,,,,,0,7,7,452,trial,,,,,,green,0.1897945345002853,0.19166666666666665,2.2998569999763276,0.9983891999872867,2e-05,2e-05,0.03318,0.19140159999369644,0.2244895999901928,1.9996544999885373,2.032998199982103,2.2998569999763276,2.2998569999763276,2.441640099976212,0.14178309999988414,2.4998567999864463,3.8328862999915145,1.533029300015187,1.3912462000153027,0.7687,0.09820859423082867,-0.11048466850968226,,,,None,,0.3,0.3,0.5231245345002853,0.525,trial_list_0.8_green.csv,0.5250954999937676,0.5584518999967258,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,300,0.1999999999999999,unmet,,red,green,,346.7447719932246,,,,,0,8,8,260,trial,,,,,,red,0.3467447719932246,0.35,2.2998212999955285,0.9990421000111382,1e-05,1e-05,,0.3497691999946255,0.3830376999976579,1.9995314000116196,,2.2998212999955285,2.2998212999955285,2.3747010999941267,0.07487979999859817,2.500196600012714,3.691680699994322,1.3918593999987934,1.3169796000001952,0.49293,0.14778702336594468,0.0032841560747987704,,,,None,,0.3,0.3,0.6800747719932246,0.6833333333333333,trial_list_0.8_green.csv,0.682955199998105,0.7164908999984618,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,167,0.8,met,,green,red,,708.2708971820184,,,,,0,9,9,460,trial,,,,,,green,0.7082708971820184,0.7083333333333334,2.2998079000099096,0.9978498000127729,1e-05,1e-05,0.03328,0.7081539999926463,0.7415490999992471,1.9996034000068903,2.0330061999848112,2.2998079000099096,2.2998079000099096,2.341478799993638,0.041670899983728305,2.499883000011323,3.300027199991746,1.0002192999818362,0.9585483999981079,1.07877,-0.036207331273198126,-0.1433206862897426,,,,None,,0.167,0.16666666666666666,0.9086008971820184,0.9083333333333333,trial_list_0.8_green.csv,0.908174299984239,0.9418425000039861,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-167,0.8,met,,green,red,,696.9173900967019,,,,,0,10,10,275,trial,,,,,,green,0.6969173900967018,0.7,2.3003227000008337,0.99760940001579,1e-05,1e-05,0.03397,0.7002182999858633,0.7339764999924228,2.000419399992097,2.03393090001191,2.3003227000008337,2.3003227000008337,2.3003227000008337,0.0,2.50051959999837,3.1418664999946486,0.8415437999938149,0.8415437999938149,0.89562,0.04761065588182516,-0.1399464733496073,,,,None,,-0.167,-0.16666666666666666,0.4965873900967019,0.5,trial_list_0.8_green.csv,0.5004170000029262,0.5339653999835718,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-233,0.8,met,,green,red,,1787.0841069314415,,,,,0,11,11,272,trial,,,,,,green,1.7870841069314416,1.7916666666666667,2.2997213999915402,0.9981260999920778,1e-05,1e-05,0.0329,1.7915661000006367,1.824724599980982,1.9999151999945752,2.0330319000058807,2.2997213999915402,2.2997213999915402,2.2997213999915402,0.0,2.4996713000000454,3.374412500008475,1.0746911000169348,1.0746911000169348,1.21827,-0.09360743249441497,-0.1144090841598405,,,,None,,-0.233,-0.23333333333333334,1.5207541069314416,1.525,trial_list_0.8_green.csv,1.5247275999863632,1.5580706000037026,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-167,0.8,met,,green,red,,615.3463160635883,,,,,0,12,12,369,trial,,,,,,green,0.6153463160635884,0.6166666666666667,2.2998157999827527,0.9983922999817878,2e-05,2e-05,,0.6164196999743581,0.6498582999920473,2.0002642999752425,,2.2998157999827527,2.2998157999827527,2.2998157999827527,0.0,2.50014459999511,3.4416382999916095,1.1418225000088569,1.1418225000088569,0.43876,0.1450960160018468,0.02826545766269743,,,,None,,-0.167,-0.16666666666666666,0.41501631606358835,0.4166666666666667,trial_list_0.8_green.csv,0.41676389999338426,0.4499978999956511,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,-300,0.8,met,,green,red,,1421.4110086722235,,,,,0,13,13,65,trial,,,,,,green,1.4214110086722236,1.425,2.300655099999858,0.9982621000090148,1e-05,1e-05,,1.4256004999915604,1.4586602000053972,2.0003900000010617,,2.300655099999858,2.300655099999858,2.3086101999797393,0.007955099979881197,2.5003546999942046,3.275631099997554,0.9749759999976959,0.9670209000178147,0.79697,0.0880220353953645,-0.11875988902549177,,,,None,,-0.3,-0.3,1.0880810086722235,1.0916666666666666,trial_list_0.8_green.csv,1.0920826999936253,1.1252773999876808,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
