delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
233,0.5,none,green,red,839.6081220303297,,,,,0,24,24,253,trial,,,,,,green,0.8396081220303298,0.8416666666666667,0.233,0.23333333333333334,1.1059381220303297,1.1083333333333334,trial_list_0.5_green.csv,2.3083341000019573,0.9985012999968603,4e-05,4e-05,,1.108543899958022,1.1419380999868736,0.841877700004261,0.8749502999708056,2.000210899976082,,2.3083341000019573,2.4919153999653645,0.18358129996340722,2.3083341000019573,2.5083914999850094,3.7163256999920122,1.407991599990055,1.2244103000266477,0.74224,0.10704461031679283,-0.10194724792075507,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1453.3477340006064,0,0,0,0,0,25,25,346,fam,0.556250799971167,0.556250799971167,269.99999999999955,2.5644250999903306,2.5644250999903306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1453.3477340006064,1,0,1,0,0,25,25,346,fam,0.4974293000414036,0.4974293000414036,269.99999999999955,2.505926100013312,2.505926100013312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1453.3477340006064,2,0,2,0,0,25,25,346,fam,0.49680120003176853,0.49680120003176853,269.99999999999955,2.505436900013592,2.505436900013592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1453.3477340006064,3,0,3,0,0,25,25,346,fam,0.4975400999537669,0.4975400999537669,269.99999999999955,2.505787700007204,2.505787700007204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1453.3477340006064,,,,,0,25,25,346,trial,,,,,,red,1.4533477340006065,1.4583333333333333,0.233,0.23333333333333334,1.7196777340006062,1.7249999999999999,trial_list_0.5_green.csv,2.308554399991408,0.9983448999701068,3e-05,3e-05,0.03324,1.7249894999549724,1.7582943000015803,1.4582445999840274,1.4915270999772474,2.0002192999818362,2.0335419999901205,2.308554399991408,2.3166862999787554,0.008131899987347424,2.308554399991408,2.507926199992653,3.358365899999626,1.049811500008218,1.0416796000208706,1.33344,-0.12804259319510772,-0.07387072684333137,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-100,0.5,none,red,green,869.9310040203023,,,,,0,26,26,100,trial,,,,,,red,0.8699310040203023,0.875,-0.1,-0.1,0.7366010040203023,0.7416666666666667,trial_list_0.5_green.csv,2.3079944000346586,0.9957400999846868,3e-05,3e-05,0.03328,0.7417995000141673,0.7751377000240609,0.8752428000443615,0.9084231000160798,1.9996737000183202,2.0330032000201754,2.3079944000346586,2.757971999992151,0.4499775999574922,2.3079944000346586,2.507997600012459,6.391323400021065,4.083328999986406,3.633351400028914,1.77252,-0.09687662730386479,0.11165441790953907,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-233,0.5,none,green,red,1742.158444216588,,,,,0,27,27,349,trial,,,,,,green,1.7421584442165878,1.75,-0.233,-0.23333333333333334,1.4758284442165879,1.4833333333333334,trial_list_0.5_green.csv,2.308238099969458,0.9983120000106283,3e-05,3e-05,0.03314,1.4831589999957941,1.516575700021349,1.7498820999753661,1.783217899966985,2.0000066999928094,2.0332367999944836,2.308238099969458,3.8331792000099085,1.5249411000404507,2.308238099969458,2.5081954000052065,7.399871099973097,5.09163300000364,3.566691899963189,1.35919,-0.13359369899971812,-0.06328122584197175,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
33,0.5,none,green,red,550.6776146261677,,,,,0,28,28,225,trial,,,,,,green,0.5506776146261677,0.55,0.033,0.03333333333333333,0.6170076146261677,0.6166666666666667,trial_list_0.5_green.csv,2.3087602999876253,0.9980052000028081,2e-05,2e-05,0.03325,0.6171123000094667,0.650546699995175,0.5500948000117205,0.5837496999884024,2.0005869999877177,2.0337313000345603,2.3087602999876253,2.3087602999876253,0.0,2.3087602999876253,2.5082766000414267,5.325312200002372,3.016551900014747,3.016551900014747,0.28314,0.11482276078843952,0.09309953577441041,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,green,red,1462.6145059728772,,,,,0,29,29,271,trial,,,,,,green,1.4626145059728772,1.4666666666666666,-0.3,-0.3,1.1292845059728773,1.1333333333333333,trial_list_0.5_green.csv,2.3076116999727674,0.9978881999850273,3e-05,3e-05,,1.1329018999822438,1.1659788999822922,1.465941499976907,1.4992225999594666,1.9995854999870062,,2.3076116999727674,2.3076116999727674,0.0,2.3076116999727674,2.508238699985668,3.983023900014814,1.6754122000420466,1.6754122000420466,1.29589,-0.11845871820946749,-0.08842693049439124,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
