id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-100,0.5,none,,green,red,,1748.4750143799515,,,,,0,2,2,393,trial,,,,,,green,1.7484750143799515,1.7583333333333333,2.3079925999918487,0.9976584999967599,1e-05,1e-05,1.7580263999989256,1.7911590000003343,1.9994751999911387,2.0326668999914546,2.3079925999918487,2.3079925999918487,2.507824600004824,2.3913325000030454,0.08333990001119673,4.024594899994554,1.7166023000027053,1.6332623999915086,1.91971,-0.03689321213090665,0.14314566306791782,,,,None,,0.03303,-0.1,-0.1,1.6151450143799515,1.6166666666666667,trial_list_0.5_green.csv,1.6164376999950036,1.6497641000023577,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-100,0.5,none,,green,red,,384.71678603085934,,,,,0,3,3,465,trial,,,,,,green,0.38471678603085935,0.3833333333333333,2.3088050999940606,0.9966520000016317,1e-05,1e-05,0.38392389999353327,0.4174806999944849,2.0002036999940174,2.0333896999945864,2.3088050999940606,2.3088050999940606,2.5088632999977563,2.3088050999940606,0.0,3.441683400000329,1.1328783000062685,1.1328783000062685,0.70156,0.11916530077581552,-0.0874724016333114,,,,None,,,-0.1,-0.1,0.25138678603085934,0.25,trial_list_0.5_green.csv,0.2503124999930151,0.284171499995864,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,167,0.5,none,,red,green,,511.4995199538423,,,,,0,4,4,160,trial,,,,,,red,0.5114995199538424,0.5166666666666666,2.3082517000002554,0.9986016000038944,1e-05,1e-05,0.516853799999808,0.5502115999988746,2.0000484000047436,2.033664200003841,2.3082517000002554,2.3082517000002554,2.5081599000113783,2.3082517000002554,0.0,3.416519900012645,1.1082682000123896,1.1082682000123896,0.52703,0.14729105026914252,-0.012535408533544045,,,,None,,0.03349,0.167,0.16666666666666666,0.7118295199538424,0.7166666666666667,trial_list_0.5_green.csv,0.7169266000128118,0.7500552999990759,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-167,0.5,none,,red,green,,905.4156378598458,,,,,0,5,5,116,trial,,,,,,red,0.9054156378598458,0.9083333333333333,2.3083940999931656,0.9976683999993838,2e-05,2e-05,0.9084232000022894,0.9416235999960918,1.9998814999999013,,2.3083940999931656,2.3083940999931656,2.50826689999667,2.4334865999990143,0.1250925000058487,3.266327100005583,0.9579330000124173,0.8328405000065686,1.08354,-0.038353772065933586,-0.14276126268986394,,,,None,,,-0.167,-0.16666666666666666,0.7050856378598458,0.7083333333333334,trial_list_0.5_green.csv,0.7084182999969926,0.7416708999953698,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-100,0.5,none,,green,red,,1276.1531132806526,,,,,0,6,6,311,trial,,,,,,green,1.2761531132806527,1.2833333333333332,2.3082005999895046,0.9990281000063987,1e-05,1e-05,1.2831150999991223,1.3165219999937108,1.9998367999942275,2.0330976999975974,2.3082005999895046,2.3082005999895046,2.5085430999897653,2.6661235999927158,0.3579230000032112,5.875127999999677,3.5669274000101723,3.209004400006961,1.35835,-0.13342604382965984,-0.0636339593649147,,,,None,,0.03283,-0.1,-0.1,1.1428231132806528,1.15,trial_list_0.5_green.csv,1.1499920999922324,1.1832399999984773,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,233,0.5,none,,red,green,,833.6463214316756,,,,,0,7,7,334,trial,,,,,,red,0.8336463214316756,0.8333333333333334,2.308107100005145,0.9965480000100797,1e-05,1e-05,0.8331873999995878,0.8667323999979999,1.9995098000072176,,2.308107100005145,2.308107100005145,2.5082634999998845,2.3497893000021577,0.0416821999970125,3.2578973000054248,0.9497902000002796,0.9081080000032671,0.98656,0.006240495499627665,-0.14769172682452142,,,,None,,0.03356,0.233,0.23333333333333334,1.0999763214316753,1.1,trial_list_0.5_green.csv,1.1002204999967944,1.1335740000067744,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-33,0.5,none,,green,red,,636.5261432080581,,,,,0,8,8,411,trial,,,,,,green,0.6365261432080581,0.6416666666666666,2.3086478000041097,0.9986004000093089,1e-05,1e-05,0.6419480000040494,0.6750889999966603,1.9999344999960158,,2.3086478000041097,2.3086478000041097,2.508446699997876,2.3086478000041097,0.0,3.9080982000014046,1.5994503999972949,1.5994503999972949,1.27482,-0.11235083237092316,-0.09606810304180388,,,,None,,,-0.033,-0.03333333333333333,0.5701961432080581,0.575,trial_list_0.5_green.csv,0.5750682999932906,0.6083696999994572,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,233,0.5,none,,red,green,,798.9400221361005,,,,,0,9,9,142,trial,,,,,,red,0.7989400221361005,0.8,2.3081628999934765,0.997761000005994,1e-05,1e-05,0.7999999999883585,0.8333743999974104,1.9997131999989506,2.0329848999972455,2.3081628999934765,2.3081628999934765,2.5079502999869874,2.5746092999906978,0.2664463999972213,3.9579462999972748,1.6497834000037983,1.383337000006577,1.05404,-0.024976824125675912,-0.14569814073310947,,,,None,,,0.233,0.23333333333333334,1.0652700221361007,1.0666666666666667,trial_list_0.5_green.csv,1.0666045999969356,1.0998510999925202,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,167,0.5,none,,green,red,,1285.9460438566728,,,,,0,10,10,165,trial,,,,,,green,1.2859460438566728,1.2916666666666667,2.3081989000056637,0.9980185000022175,1e-05,1e-05,1.2918024999962654,1.3251270000037039,1.9999689999967813,2.033220800003619,2.3081989000056637,2.3081989000056637,2.5083703999989666,2.558239100006176,0.2500402000005124,3.8749405999988085,1.5667416999931447,1.3167014999926323,1.40078,-0.14069963495843713,-0.045336549042163075,,,,None,,0.03338,0.167,0.16666666666666666,1.4862760438566727,1.4916666666666667,trial_list_0.5_green.csv,1.4915433999995003,1.5249486999964574,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,-300,0.5,none,,green,red,,1428.3933601702329,,,,,0,11,11,281,trial,,,,,,green,1.4283933601702328,1.4333333333333333,2.308374600004754,0.9968442000099458,1e-05,1e-05,1.4333568000001833,1.466633100004401,1.9999917000095593,,2.308374600004754,2.308374600004754,2.5083459000015864,2.5083459000015864,0.19997129999683239,3.5003108000091743,1.1919362000044202,0.9919649000075879,1.50945,-0.14775834274168817,0.004388861665594698,,,,None,,,-0.3,-0.3,1.0950633601702329,1.1,trial_list_0.5_green.csv,1.1000231000070926,1.133372900003451,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,300,0.5,none,,green,red,,864.4476833527744,,,,,0,12,12,85,trial,,,,,,green,0.8644476833527744,0.8666666666666667,2.308683999988716,0.9977517999941483,2e-05,2e-05,0.8672358999901917,0.9004444999882253,2.0003718999942066,,2.308683999988716,2.308683999988716,2.508785500001977,2.4003202999883797,0.0916362999996636,3.374995399994077,1.066311400005361,0.9746751000056975,1.13963,-0.06278363219702668,-0.1338282686305042,,,,None,,,0.3,0.3,1.1977776833527745,1.2,trial_list_0.5_green.csv,1.2002645999891683,1.234099099994637,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
