id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17,0,17,0,test,,,,,,red,1.765258849106499,1.7520661157024793,2.308084999996936,0.9969130999816116,4.010001430287957e-05,4e-05,0.03338380000786856,1.7667347000096925,1.7998809000127949,2.000033699994674,2.308084999996936,2.308084999996936,2.608364400017308,2.308084999996936,0.0,4.6579243000014685,2.3498393000045326,2.3498393000045326,1.48471,-0.14765296614226014,-0.007098700295300968,4.6579243000014685,-0.09939812784697741,0.10941573075662321,space,2.0497770000074524,2.0333047000167426,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,18,0,18,0,test,,,,,,red,1.1459803643985407,1.140495867768595,2.308467800001381,0.9967176000063773,3.2199983252212405e-05,3e-05,0.03348539999569766,1.150072899996303,1.1836890999984462,1.9998887999972794,2.308467800001381,2.308467800001381,2.608144700003322,2.3168206999835093,0.008352899982128292,4.40824629997951,2.099778499978129,2.0914255999960005,1.38194,-0.13777220140373747,-0.053578078323675685,4.40824629997951,-0.06544189915266516,-0.1325486619765825,space,1.799237400002312,2.0332373999990523,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,19,0,19,0,test,,,,,,red,0.8922406077403319,0.8842975206611571,2.308674100000644,0.9969347000005655,3.260001540184021e-05,3e-05,0.03308459999971092,0.8916035000002012,0.9251746000081766,2.000201000017114,2.308674100000644,2.308674100000644,2.608488199999556,2.6167998000164516,0.3081257000158075,4.457880900008604,2.14920680000796,1.8410810999921523,0.83134,0.07471046164762883,-0.12755444671546384,4.457880900008604,0.04909317066964438,-0.13943331936840309,space,1.8464251999976113,2.03367979999166,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,20,0,20,0,test,,,,,,green,0.7738977059952488,0.768595041322314,2.308260200021323,0.9988020000164397,4.010001430287957e-05,4e-05,,0.775031700002728,0.808511900017038,1.9998651000205427,2.308260200021323,2.308260200021323,2.608172200008994,2.308260200021323,0.0,4.224910999997519,1.9166507999761961,1.9166507999761961,0.7093,0.11700308995693812,-0.09034415806801552,4.224910999997519,0.09639237023297105,-0.11207274832607506,space,1.6133314999751747,2.033092600002419,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,21,0,21,0,test,,,,,,green,1.7970921682512357,1.7851239669421488,2.308344199991552,0.9969857999822125,4.049998824484646e-05,4e-05,0.033114599995315075,1.7997279999835882,1.8332311999984086,1.999858499999391,2.308344199991552,2.308344199991552,2.608080899983179,2.308344199991552,0.0,4.216250800003763,1.9079066000122111,1.9079066000122111,1.54807,-0.14614110607861547,0.022238863968484963,4.216250800003763,-0.08797733524393639,0.11879300669595812,space,1.6036918000027072,2.033079499989981,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,22,0,22,0,test,,,,,,red,0.20810051433017662,0.2066115702479339,2.3085558000020683,0.9966838000109419,4.069998976774514e-05,4e-05,0.033402200002456084,0.20848810000461526,0.24177550000604242,1.9998934000032023,2.3085558000020683,2.3085558000020683,2.608312399999704,2.374874200002523,0.06631840000045486,6.541521899984218,4.23296609998215,4.166647699981695,0.21303,0.09171015949942365,0.11593548465021482,6.541521899984218,0.0899034483089655,0.11734206380768616,space,3.930907100002514,2.0333838000078686,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,23,0,23,0,test,,,,,,green,1.0886850671936872,1.0826446280991735,2.308195599995088,0.9972115000127815,4.069998976774514e-05,4e-05,0.03308110000216402,1.0911264999886043,1.1245030999998562,1.9995897999906447,2.308195599995088,2.308195599995088,2.6078795999928843,2.3163737999857403,0.008178199990652502,4.766397800005507,2.458202200010419,2.4500240000197664,1.18515,-0.08121516198545017,-0.12351472551953882,4.766397800005507,-0.04065468466089349,-0.14212313876217778,space,2.158201599988388,2.032967799983453,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,24,0,24,0,test,,,,,,green,1.6336041358825346,1.6280991735537191,2.308461200009333,0.9965082999842707,2.0400009816512465e-05,2e-05,,1.6422314000083134,1.6752827000163961,2.0003216000040993,2.308461200009333,2.308461200009333,2.6088027000078,2.3919536000175867,0.08349240000825375,5.133115800010273,2.8246546000009403,2.7411621999926865,1.78056,-0.09402649567251056,0.11406492917648822,5.133115800010273,-0.13499229513397623,0.06024010467248024,space,2.518446199974278,2.033908999990672,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,25,0,25,0,test,,,,,,red,1.0104686224292545,1.0082644628099173,2.3085615999880247,0.9976123000087682,2.5699991965666413e-05,3e-05,0.0333602000027895,1.0167690999805927,1.0500294999801554,2.000637099990854,2.3085615999880247,2.3085615999880247,2.608594199991785,2.4168925999838393,0.10833099999581464,4.541914500005078,2.233352900017053,2.1250219000212383,0.59277,0.14158924295846204,-0.04247677288753861,4.541914500005078,-0.004860764987871553,-0.14774357150218959,space,1.9300126999733038,2.03385919998982,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,26,0,26,0,test,,,,,,green,0.865192283557587,0.859504132231405,2.3084165999898687,0.9969323999830522,4.05999890062958e-05,4e-05,0.033424099994590506,0.8666082000127062,0.9001797999953851,1.9999226999934763,2.3084165999898687,2.3084165999898687,2.6082279999973252,2.3164536000113003,0.008037000021431595,4.108130300010089,1.7997137000202201,1.7916766999987885,0.79918,0.08719709594047649,-0.11936689832628336,4.108130300010089,0.06075010027094822,-0.1347635532091658,space,1.4922944999998435,2.033188600005815,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
