id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,167,0.85,met,276,green,red,high_Expectation,,,,,0,45,45,275,0.001140100008342415,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,15,green,red,high_Expectation,,,,,0,46,46,14,0.001353600004222244,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,33,0.15,unmet,248,red,green,high_Expectation,,,,,0,47,47,247,0.0010917000472545624,,,,,,,,,,,,,,None,0.19305555555555556,0.006944444444444444,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,233,0.85,met,99,green,red,high_Expectation,,,,,0,48,48,98,0.0010864000068977475,,,,,,,,,,,,,,None,0.19305555555555556,0.005555555555555556,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-33,0.85,met,247,green,red,high_Expectation,,,,,0,49,49,246,0.0011269999668002129,,,,,,,,,,,,,,None,0.19305555555555556,0.005555555555555556,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.85,met,290,green,red,high_Expectation,,,,,0,50,50,289,0.001185000000987202,,,,,,,,,,,,,,None,0.19305555555555556,0.005555555555555556,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.85,met,173,green,red,high_Expectation,,,,,0,51,51,172,0.0012478999560698867,,,,,,,,,,,,,,None,0.19305555555555556,0.005555555555555556,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,50,green,red,high_Expectation,,,,,0,52,52,49,0.0011938000097870827,,,,,,,,,,,,,,None,0.19305555555555556,0.004166666666666667,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.85,met,183,green,red,high_Expectation,,,,,0,53,53,182,0.00106519996188581,,,,,,,,,,,,,,None,0.19305555555555556,0.004166666666666667,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,233,0.85,met,162,green,red,high_Expectation,,,,,0,54,54,161,0.0011012000031769276,,,,,,,,,,,,,,None,0.19305555555555556,0.004166666666666667,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,158,green,red,high_Expectation,,,,,0,55,55,157,0.0012568000238388777,,,,,,,,,,,,,,None,0.19305555555555556,0.004166666666666667,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.85,met,249,green,red,high_Expectation,,,,,0,56,56,248,0.001087699958588928,,,,,,,,,,,,,,None,0.19305555555555556,0.004166666666666667,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-33,0.85,met,229,green,red,high_Expectation,,,,,0,57,57,228,0.0011085000005550683,,,,,,,,,,,,,,None,0.19305555555555556,0.002777777777777778,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,233,0.85,met,281,green,red,high_Expectation,,,,,0,58,58,280,0.001126500021200627,,,,,,,,,,,,,,None,0.19305555555555556,0.002777777777777778,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.15,unmet,198,red,green,high_Expectation,,,,,0,59,59,197,0.0011911999899894,,,,,,,,,,,,,,None,0.19305555555555556,0.002777777777777778,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.15,unmet,223,red,green,high_Expectation,,,,,0,60,60,222,0.0012092000106349587,,,,,,,,,,,,,,None,0.19305555555555556,0.002777777777777778,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-300,0.85,met,164,green,red,high_Expectation,,,,,0,61,61,163,0.001218399964272976,,,,,,,,,,,,,,None,0.19305555555555556,0.001388888888888889,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
