id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,100,0.8,met,,red,green,,717.6079012106829,,,,,0,4,4,361,trial,,,,,,red,0.717607901210683,0.7166666666666667,2.300048400007654,0.9980188999907114,2e-05,2e-05,0.03321,0.7167111000162549,0.7499753999873064,1.9999347000266425,2.0332707000197843,2.300048400007654,2.300048400007654,2.4749894000124186,0.17494100000476465,2.4999863000120968,4.074895800033119,1.7748474000254646,1.5999064000207,0.70557,0.11805318087248784,-0.08896761457057054,,,,None,,0.1,0.1,0.850937901210683,0.85,trial_list_0.8_red.csv,0.8498959999997169,0.8832593000261113,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,233,0.8,met,,red,green,,1022.5067123997412,,,,,0,5,5,315,trial,,,,,,red,1.0225067123997411,1.025,2.300167999987025,0.9963097000145353,2e-05,2e-05,0.03338,1.025222499971278,1.0585109000094235,2.0000992999994196,2.0335192999918945,2.300167999987025,2.300167999987025,2.800085199996829,0.4999172000098042,2.5005538999685086,3.7086306999553926,1.4084626999683678,0.9085454999585636,0.87608,0.05610735262918208,-0.13676167203363135,,,,None,,0.233,0.23333333333333334,1.288836712399741,1.2916666666666667,trial_list_0.8_red.csv,1.2917953999713063,1.3252296999562532,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,33,0.8,met,,red,green,,1584.0214018937145,,,,,0,6,6,286,trial,,,,,,red,1.5840214018937144,1.5833333333333333,2.300432199961506,0.9970328999916092,1e-05,1e-05,0.03335,1.5836041999864392,1.616524799959734,1.9998682999867015,2.033059299981687,2.300432199961506,2.300432199961506,2.300432199961506,0.0,2.500058399979025,3.6167333999765106,1.3163012000150047,1.3163012000150047,1.94743,-0.02430203525927347,0.1458122115556408,,,,None,,0.033,0.03333333333333333,1.6503514018937144,1.65,trial_list_0.8_red.csv,1.6498518000007607,1.683239899983164,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-33,0.8,met,,red,green,,330.7528959196709,,,,,0,7,7,163,trial,,,,,,red,0.3307528959196709,0.3333333333333333,2.3000013999990188,0.9982070999685675,1e-05,1e-05,0.03338,0.3333670000429265,0.3666887999861501,2.0001128999865614,2.0334046999923885,2.3000013999990188,2.3000013999990188,2.3000013999990188,0.0,2.500002700020559,3.4584660000400618,1.158464600041043,1.158464600041043,0.11497,0.05224091232200848,0.1382847679111989,,,,None,,-0.033,-0.03333333333333333,0.2644228959196709,0.26666666666666666,trial_list_0.8_red.csv,0.2666519000194967,0.3001541999983601,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-300,0.8,met,,red,green,,1601.5178059759608,,,,,0,8,8,52,trial,,,,,,red,1.6015178059759607,1.6,2.299926100007724,0.9971192000084557,4e-05,4e-05,,1.5996674000052735,1.6331117000081576,1.9997525000362657,,2.299926100007724,2.299926100007724,2.299926100007724,0.0,2.499665000010282,4.524938900023699,2.225012800015975,2.225012800015975,1.40524,-0.1413212849685414,-0.04335993970625701,,,,None,,-0.3,-0.3,1.2681878059759608,1.2666666666666666,trial_list_0.8_red.csv,1.2663421000470407,1.2997577000060119,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-100,0.8,met,,red,green,,686.9933704648456,,,,,0,9,9,363,trial,,,,,,red,0.6869933704648457,0.6833333333333333,2.2999397999956273,0.9977292999974452,1e-05,1e-05,0.03337,0.6831423999974504,0.71649379999144,2.0001983999973163,2.033164399967063,2.2999397999956273,2.2999397999956273,2.2999397999956273,0.0,2.499885400000494,4.367622099991422,2.067682299995795,2.067682299995795,0.24718,0.10359793168429703,0.10544789475008805,,,,None,,-0.1,-0.1,0.5536633704648456,0.55,trial_list_0.8_red.csv,0.5498903999687172,0.5833119999733754,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-167,0.8,met,,red,green,,838.4307884181216,,,,,0,10,10,399,trial,,,,,,red,0.8384307884181216,0.8416666666666667,2.3001143999863416,0.9964293999946676,1e-05,1e-05,0.03339,0.8417026000097394,0.8750561000197195,2.000209200021345,2.033602499985136,2.3001143999863416,2.3001143999863416,2.3001143999863416,0.0,2.5001974999904633,4.1584187999833375,1.858304399996996,1.858304399996996,0.85597,0.06462736025122069,-0.13294771251679685,,,,None,,-0.167,-0.16666666666666666,0.6381007884181215,0.6416666666666666,trial_list_0.8_red.csv,0.6416873999987729,0.6752089000074193,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,33,0.8,met,,red,green,,616.7233137908011,,,,,0,11,11,161,trial,,,,,,red,0.616723313790801,0.6166666666666667,2.299820800020825,0.9984127000207081,3e-05,3e-05,,0.6165272999787703,0.6498578999890015,2.0002495999797247,,2.299820800020825,2.299820800020825,2.299820800020825,0.0,2.500036999990698,3.792083900014404,1.492263099993579,1.492263099993579,0.27671,0.11292025401343331,0.0953981456320385,,,,None,,0.033,0.03333333333333333,0.6830533137908011,0.6833333333333333,trial_list_0.8_red.csv,0.6833258999977261,0.7166156999883242,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-233,0.1999999999999999,unmet,,green,red,,665.2180643546983,,,,,0,12,12,44,trial,,,,,,green,0.6652180643546983,0.6666666666666666,2.2997319999849424,0.9973703000578098,1e-05,1e-05,0.03304,0.6668548999587074,0.7002248999779113,1.9995798000018112,2.033061699999962,2.2997319999849424,2.2997319999849424,5.008126999950036,2.708394999965094,2.499667899974156,6.199771299958229,3.9000392999732867,1.1916443000081927,1.25,-0.10452700597570448,-0.10452700597570448,,,,None,,-0.233,-0.23333333333333334,0.3988880643546983,0.4,trial_list_0.8_red.csv,0.39963159995386377,0.43289589998312294,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,-233,0.8,met,,red,green,,1388.4089718343666,,,,,0,13,13,488,trial,,,,,,red,1.3884089718343666,1.3916666666666666,2.300052299979143,0.997959100001026,1e-05,1e-05,0.03339,1.3918532999814488,1.4251284999772906,2.000276699953247,2.0333501999848522,2.300052299979143,2.300052299979143,2.300052299979143,0.0,2.49985799996648,3.883434099960141,1.583381799980998,1.583381799980998,1.13068,-0.058999394973324716,-0.13553915061439464,,,,None,,-0.233,-0.23333333333333334,1.1220789718343667,1.125,trial_list_0.8_red.csv,1.1251451999996789,1.1589329999987967,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
