delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
-233,0.8,met,green,red,462.6626894670381,,,,,0,23,23,331,trial,,,,,,green,0.4626626894670381,0.4666666666666667,-0.233,-0.23333333333333334,0.1963326894670381,0.2,trial_list_0.8_green.csv,2.2993925999908242,0.9967680999834556,4e-05,4e-05,0.03326,0.46672189998207614,0.5001446999958716,0.20004399999743327,0.23347799998009577,2.000157799979206,2.0333679000032134,2.2993925999908242,2.2993925999908242,2.499372599995695,2.6083433000021614,0.3089507000113372,3.4417136999836657,1.1423210999928415,0.8333703999815043,0.40194,0.14086483308038183,0.044820628707394214,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
33,0.8,met,green,red,1655.4569739015978,,,,,0,24,24,109,trial,,,,,,green,1.6554569739015979,1.6583333333333332,0.033,0.03333333333333333,1.7217869739015979,1.7249999999999999,trial_list_0.8_green.csv,2.2999587999947835,0.9973746000032406,4e-05,4e-05,,1.6584619999921415,1.6917357000056654,1.725092599983327,1.7582670999981929,2.0000548999814782,,2.2999587999947835,2.2999587999947835,2.499855000001844,3.308276700001443,1.0083179000066593,4.6249416999926325,2.324982899997849,1.3166649999911897,1.60361,-0.14006163388991835,0.04727080143784744,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,920.135604125051,0,0,0,0,0,25,25,79,fam,0.5641193000192288,0.5641193000192288,270.0,2.5645320000185166,2.5645320000185166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,920.135604125051,1,0,1,0,0,25,25,79,fam,0.4969959000009112,0.4969959000009112,270.0,2.496511500008637,2.496511500008637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,920.135604125051,2,0,2,0,0,25,25,79,fam,0.4992887999978848,0.4992887999978848,270.0,2.499165699991863,2.499165699991863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,920.135604125051,3,0,3,0,0,25,25,79,fam,0.4975071999942884,0.4975071999942884,270.0,2.497800399985863,2.497800399985863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-33,0.8,met,green,red,920.135604125051,,,,,0,25,25,79,trial,,,,,,green,0.920135604125051,0.9166666666666666,-0.033,-0.03333333333333333,0.853805604125051,0.85,trial_list_0.8_green.csv,2.2999852999928407,0.998231500008842,6e-05,6e-05,0.03355,0.9168854999879841,0.950203699991107,0.8501590999949258,0.8837939999939408,2.0002243999915663,2.033411700016586,2.2999852999928407,2.2999852999928407,2.500098299991805,2.2999852999928407,0.0,2.8833030000096187,0.583317700016778,0.583317700016778,0.7339,0.10967901101445421,-0.09910754007330198,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
33,0.8,met,green,red,995.8563132605672,,,,,0,26,26,26,trial,,,,,,green,0.9958563132605671,0.9916666666666667,0.033,0.03333333333333333,1.0621863132605671,1.0583333333333333,trial_list_0.8_green.csv,2.299946099985391,0.9961201999976765,6e-05,6e-05,0.03338,0.9919083999993745,1.0250380999932531,1.0584325999952853,1.091670299996622,1.9999940000125207,2.0335148999874946,2.299946099985391,2.299946099985391,2.5000887000060175,2.299946099985391,0.0,2.716449700004887,0.41650360001949593,0.41650360001949593,1.10514,-0.04794275983300374,-0.13983304951292755,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-167,0.8,met,green,red,1236.1005186348175,,,,,0,27,27,378,trial,,,,,,green,1.2361005186348175,1.2333333333333334,-0.167,-0.16666666666666666,1.0357705186348176,1.0333333333333332,trial_list_0.8_green.csv,2.2997623999835923,0.997164000000339,4e-05,4e-05,0.03309,1.2331974999979138,1.266487099986989,1.0333345999824814,1.0663438999908976,1.9998847999959253,2.033058200002415,2.2997623999835923,2.2997623999835923,2.4998416999878827,2.3581321999954525,0.05836980001186021,3.016244700003881,0.7164823000202887,0.6581125000084285,0.78522,0.0923446142874532,-0.11543076785931652,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-167,0.8,met,green,red,1721.273691218886,,,,,0,28,28,215,trial,,,,,,green,1.721273691218886,1.7249999999999999,-0.167,-0.16666666666666666,1.520943691218886,1.525,trial_list_0.8_green.csv,2.3000097000040114,0.9969717999920249,4e-05,4e-05,,1.7249352000071667,1.75833790001343,1.5250472000043374,1.5582799999974668,2.0002592999953777,2.033261100004893,2.3000097000040114,2.3000097000040114,2.4998116999922786,2.4668372999876738,0.16682759998366237,3.208216099999845,0.9082063999958336,0.7413788000121713,0.94743,0.02430203525927347,-0.1458122115556408,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
-100,0.1999999999999999,unmet,red,green,1578.869296972504,,,,,0,29,29,30,trial,,,,,,red,1.578869296972504,1.575,-0.1,-0.1,1.445539296972504,1.4416666666666667,trial_list_0.8_green.csv,2.300129300012486,0.9976102999935392,4e-05,4e-05,,1.5750851000193506,1.6082076000166126,1.441620800003875,1.474807000020519,2.000126900005853,,2.300129300012486,2.300129300012486,2.4997491000103764,2.474958600010723,0.17482929999823682,2.799812600016594,0.4996833000041079,0.32485400000587106,1.18373,-0.08066332323374309,-0.12387581782324833,None,ahmed_high0_cont,001,2023-04-29_14h47.24.687,expectation_shapes_perceived_time,2022.2.4,119.99587212453673,
