id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,167,0.8,met,,red,green,,234.05852074581452,,,,,0,5,5,108,trial,,,,,,red,0.2340585207458145,0.23333333333333334,2.2999724999972386,0.998431600000913,1e-05,1e-05,0.2333214999998745,0.26675299999988056,2.0002301999993506,2.2999724999972386,2.2999724999972386,2.4999398999971163,2.474885699997685,0.17491320000044652,3.041878699998051,0.7419062000008125,0.566993000000366,1.99277,-0.0033587578797573633,0.14778534670932397,,,,None,,0.03374,2.033355499999743,0.167,0.16666666666666666,0.4343885207458145,0.43333333333333335,trial_list_0.8_red.csv,0.433421299996553,0.4669992999988608,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-33,0.1999999999999999,unmet,,green,red,,1204.150646377276,,,,,0,6,6,61,trial,,,,,,green,1.204150646377276,1.2,2.3001444000001356,0.996034799998597,1e-05,1e-05,1.2001452000004065,1.2334217999996326,2.0001430999982404,2.3001444000001356,2.3001444000001356,2.500029800001357,2.591968900000211,0.2918245000000752,3.191704100001516,0.8915597000013804,0.5997352000013052,0.19978,0.08680604694376828,0.11965157821978871,,,,None,,0.03325,2.033734100001311,-0.033,-0.03333333333333333,1.137820646377276,1.1416666666666666,trial_list_0.8_red.csv,1.1417844999996305,1.1753323000011733,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,100,0.1999999999999999,unmet,,green,red,,634.7861303484563,,,,,0,7,7,17,trial,,,,,,green,0.6347861303484562,0.6333333333333333,2.300107700000808,0.9979424999983166,1e-05,1e-05,0.6335467000026256,0.6665400000019872,1.9999196999997366,2.300107700000808,2.300107700000808,2.4998847999995633,2.7415922000000137,0.4414844999992056,3.2585534999998345,0.9584457999990263,0.5169612999998208,0.43305,0.14456591263682234,0.03086238584381601,,,,None,,0.03321,2.033238700001675,0.1,0.1,0.7681161303484563,0.7666666666666666,trial_list_0.8_red.csv,0.7665713999995205,0.8001734999998007,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-100,0.8,met,,red,green,,851.9672841803958,,,,,0,8,8,457,trial,,,,,,red,0.8519672841803958,0.85,2.3000493999970786,0.998165599998174,1e-05,1e-05,0.8501148999966972,0.8833163999988756,1.9999848999977985,2.3000493999970786,2.3000493999970786,2.5004214999971737,2.3000493999970786,0.0,3.250384599999961,0.9503352000028826,0.9503352000028826,0.10474,0.047768258462087695,0.1398927569246854,,,,None,,0.03335,2.033420699997805,-0.1,-0.1,0.7186372841803957,0.7166666666666667,trial_list_0.8_red.csv,0.7166637999980594,0.7502105999992636,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,33,0.8,met,,red,green,,1634.5259426982757,,,,,0,9,9,113,trial,,,,,,red,1.6345259426982757,1.6333333333333333,2.2997165999986464,0.9982841999990342,5e-05,5e-05,1.6332495999995444,1.6665369000002102,2.000092599999334,2.2997165999986464,2.2997165999986464,2.4999004999990575,2.2997165999986464,0.0,3.067117499998858,0.7674009000002115,0.7674009000002115,0.45849,0.1465684185014209,0.0192220876723175,,,,None,,0.03335,2.0333436999972037,0.033,0.03333333333333333,1.7008559426982757,1.7,trial_list_0.8_red.csv,1.6998019999991811,1.7332411999996111,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,100,0.1999999999999999,unmet,,green,red,,963.8797437054274,,,,,0,10,10,317,trial,,,,,,green,0.9638797437054274,0.9666666666666667,2.2997166000022844,0.9971120999980485,1e-05,1e-05,0.9664167000009911,0.9998577000005753,2.0002702999991016,2.2997166000022844,2.2997166000022844,2.4998446999998123,2.319002600001113,0.01928599999882863,2.849608000000444,0.5498913999981596,0.530605399999331,1.93281,-0.030973325235411554,0.14454218443192057,,,,None,,0.03304,2.0337046999993618,0.1,0.1,1.0972097437054271,1.1,trial_list_0.8_red.csv,1.0995449000001827,1.133243100000982,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,-100,0.8,met,,red,green,,402.9279365969748,,,,,0,11,11,479,trial,,,,,,red,0.4029279365969748,0.4,2.299616000000242,0.9960947999970813,1e-05,1e-05,0.39974849999998696,0.4332226000005903,1.999859200001083,2.299616000000242,2.299616000000242,2.4996926999992866,2.458059399999911,0.15844339999966905,3.0497601999995823,0.7501441999993403,0.5917007999996713,0.23974,0.10110257795243574,0.10784274981593145,,,,None,,,,-0.1,-0.1,0.26959793659697484,0.26666666666666666,trial_list_0.8_red.csv,0.26649470000120346,0.29979739999907906,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,167,0.8,met,,red,green,,780.7828190287634,,,,,0,12,12,93,trial,,,,,,red,0.7807828190287633,0.7833333333333333,2.2999736999991,0.9981068999986746,1e-05,1e-05,0.78336119999949,0.8162960000008752,1.999705800000811,2.2999736999991,2.2999736999991,2.499766199998703,2.4162348999998358,0.1162612000007357,2.9745981999985815,0.6746244999994815,0.5583632999987458,0.0053,0.002463383045307026,0.14780298271842157,,,,None,,,,0.167,0.16666666666666666,0.9811128190287633,0.9833333333333333,trial_list_0.8_red.csv,0.9832377999991877,1.016732399999455,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,33,0.8,met,,red,green,,831.046066983627,,,,,0,13,13,154,trial,,,,,,red,0.831046066983627,0.8333333333333334,2.300209899996844,0.9969357999980275,3e-05,3e-05,0.8335678999974334,0.8667887999981758,2.000158199996804,2.300209899996844,2.300209899996844,2.500215499996557,2.41682469999796,0.11661480000111624,3.016763199997513,0.716553300000669,0.5999384999995527,0.32127,0.1251267991307901,0.07870879300162605,,,,None,,0.03339,2.03355559999909,0.033,0.03333333333333333,0.897376066983627,0.9,trial_list_0.8_red.csv,0.9000831999983347,0.9334427999965556,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,233,0.8,met,,red,green,,862.5331050045104,,,,,0,14,14,50,trial,,,,,,red,0.8625331050045104,0.8666666666666667,2.3001125999981014,0.9987240999980713,4e-05,4e-05,0.8665497000001778,0.8998805999981414,1.9999204000014288,2.3001125999981014,2.3001125999981014,2.499867800001084,2.374829399999726,0.0747168000016245,3.0584453999981633,0.758332800000062,0.6836159999984375,1.98166,-0.008514121952171157,0.1475781138376334,,,,None,,0.0334,2.033279399998719,0.233,0.23333333333333334,1.1288631050045104,1.125,trial_list_0.8_red.csv,1.1250473000000056,1.158348199998727,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
